"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Located In Spokane Washington","Holliday Heating has become one of Spokane’s top ranking experts in this field.",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Located In Spokane Washington","There are many benefits to having a geothermal heating system Contact Us Today",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Located In Spokane Washington","Geothermal the Cost Effective and Eco Friendly way to keep your home comfortable",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Located In Spokane Washington","Geothermal systems can save you 30% to 70% on your monthly utility bills. ",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","100% Satisfaction Guaranteed","Holliday Heating has become one of Spokane’s top ranking experts in this field.",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","100% Satisfaction Guaranteed","There are many benefits to having a geothermal heating system Contact Us Today",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","100% Satisfaction Guaranteed","Geothermal the Cost Effective and Eco Friendly way to keep your home comfortable",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","100% Satisfaction Guaranteed","Geothermal systems can save you 30% to 70% on your monthly utility bills. ",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Save Money & Stay Comfortable","Holliday Heating has become one of Spokane’s top ranking experts in this field.",geothermal,
geothermal,Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/,"Geothermal HVAC Service","Save Money & Stay Comfortable","There are many benefits to having a geothermal heating system Contact Us Today",geothermal,
