"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","5223 W Lovers Lane
Dallas, TX 75209
(214) 242-9407",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Mon-Fri: 10am to 6pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Sat: 9am to 5pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","11213 Lee Highway Suite K
Fairfax, VA 22030
(703) 352-4247",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Mon-Fri: 10am to 6pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Sat: 9am to 5pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","11004 Metcalf Ave
Overland Park, KS 66210
(913) 608-5170",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Mon-Tues, Thurs-Sat: 9:30am to 5pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Wed: 9:30am to 7pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","7928 W Dodge Rd
Omaha, NE 68114
(402) 397-2524",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Mon-Fri: 10am to 6pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Sat: 9am to 5pm",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","1772 Hamilton Blvd Suite #23
Sioux City, IA 51103
(712) 204-1322",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","By appointment",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Bravadas hair consultations are free.  We’ll walk you through all your options, then we’ll customize your wig or hairpiece just for you!",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Our mission at Bravadas is to provide you with a vast selection of the finest quality alternative hair products, while nurturing lasting relationships and offering caring, expert advice with world class customer service in a safe, private, modern and inviting salon atmosphere.",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","About
Our Team
Franchise Opportunities
Return and Exchange Policy",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Dallas, Texas
(214) 242-9407",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Fairfax, Virginia (DC)
(703) 352-4247",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Kansas City, Kansas
(913) 608-5170",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Omaha, Nebraska
(402) 397-2524",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Sioux City, Iowa
(712) 204-1322",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Ready to get your new look?  Let a Bravadas certified hair loss expert help you today!",,
,Headline,Enabled,All,https://bravadas.com,"No H1 Tags Found","Schedule a Free 1-Hour Consultation","Bravadas has wig stores in Dallas, Omaha & Fairfax. Each Bravadas wig store location offers highly skilled wig experts and stylists, visit today to learn more about Bravadas!",,
