"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Rufen Sie uns an","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Rufen Sie uns an","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Transparent. Zuverlässig. Kompetent.","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Transparent. Zuverlässig. Kompetent.","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Ausgesperrt? Schlüssel verloren? Der ADAC hilft!","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst im Stadtgebiet München","Ausgesperrt? Schlüssel verloren? Der ADAC hilft!","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Rufen Sie uns an","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Rufen Sie uns an","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Transparent. Zuverlässig. Kompetent.","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Transparent. Zuverlässig. Kompetent.","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Ausgesperrt? Schlüssel verloren? Der ADAC hilft!","Profitieren Sie als ADAC Mitglied von Exklusiven Leistungen und Vorteilen",Service,Schlüsseldienst
Schlüsselnotdienst,Headline,Enabled,All,https://stage.adac.de/der-adac/schluesselnotdienst/?redirectId=quer.schluesselnotdienst,"Ihr ADAC Schlüsselnotdienst in München","Ausgesperrt? Schlüssel verloren? Der ADAC hilft!","Exklusiv für ADAC Mitglieder: unser neuer Schlüsselnotdienst",Service,Schlüsseldienst
