"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Satisfaction Guaranteed","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Satisfaction Guaranteed","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Satisfaction Guaranteed","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Lowest Price Guaranteed","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Lowest Price Guaranteed","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Lowest Price Guaranteed","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Schedule Online","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Schedule Online","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Air Conditioner Repair","Schedule Online","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Satisfaction Guaranteed","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Satisfaction Guaranteed","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Satisfaction Guaranteed","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Lowest Price Guaranteed","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Lowest Price Guaranteed","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Lowest Price Guaranteed","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Schedule Online","Love’s service technicians are certified, well-trained and fully equipped.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Schedule Online","Contact Love’s Air to be back in comfort in no time.",aircon,repair
"AC Repair",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-repair/,"Love's Heating & Air","Schedule Online","Schedule now for a full diagnosis and explanation of the repairs needed. ",aircon,repair
