"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-Up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-Up","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-Up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Free Tune-Up for Club Members","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Free Tune-Up for Club Members","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Free Tune-Up for Club Members","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 AC Tune-Up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 AC Tune-Up","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 AC Tune-Up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-Up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-Up","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-Up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Free Tune-Up for Club Members","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Free Tune-Up for Club Members","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Free Tune-Up for Club Members","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 AC Tune-Up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 AC Tune-Up","Protect your home’s heating and air conditioning system. Tune-up today!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 AC Tune-Up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
