"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Für HR-Manager, die alles im Griff haben",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Vereinfachen Sie Ihre HR-Prozesse mit Personio, der All-in-One Software für Personalverwaltung und Recruiting",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","14 Tage unverbindlich testen",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","ISO-zertifiziert ",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Wir speichern und verarbeiten Kundendaten ausschließlich auf ISO-zertifizierten Sicherheitsservern in Deutschland mit Backups an separaten Orten.",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","TLS verschlüsselt ",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Softwareseitige Sicherheitsmaßnahmen und SSL Verschlüsselung der Verbindung zu Personio schützen Ihre Daten zusätzlich vor Angriffen aller Art.",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","2-Faktor-Authentifizierung ",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Durch 2-Faktor-Authentifizierung sowie unser präzises Rollen- und Berechtigungskonzept gehen Sie sicher, dass Informationen nur von berechtigten Mitarbeitern eingesehen werden können.",,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge",Referenzen,,
,Headline,Enabled,All,https://personio.de,"Personio. Das HR-Betriebssystem.","Mehr Zeit für wichtigere Dinge","Ist es wirklich so einfach?",,
