"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: quali saranno i tuoi?","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: quali saranno i tuoi?","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: quali saranno i tuoi?","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Arredi per un bagno sempre perfetto","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Arredi per un bagno sempre perfetto","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Arredi per un bagno sempre perfetto","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: design e funzionalità al tuo servizio","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: design e funzionalità al tuo servizio","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno","Mobili bagno: design e funzionalità al tuo servizio","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: quali saranno i tuoi?","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: quali saranno i tuoi?","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: quali saranno i tuoi?","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Arredi per un bagno sempre perfetto","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Arredi per un bagno sempre perfetto","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Arredi per un bagno sempre perfetto","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: design e funzionalità al tuo servizio","*dato ricavato su un numero di 386 clienti",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: design e funzionalità al tuo servizio","© Leroy Merlin Italia srl | P.IVA 05602710963|",,
,Headline,Enabled,All,https://www.leroymerlin.it/prodotti/antifurto-casa-CAT125-c,"Mobili bagno: prezzi e offerte mobiletti bagno sospesi o a terra","Mobili bagno: design e funzionalità al tuo servizio","Rinnova il tuo bagno con i mobili componibili Leroy Merlin: sospesi o a terra, mobiletti, colonne, pensili e molto altro.  Acquista online o in negozio!",,
