"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",Newsletter,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","""Gross, but you won't",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","         be able to look away""",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",Killscreen,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","              ""A grimier, scarier,",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","      nastier Fallout""",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Rock Paper Shotgun",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","                  ""The pixel art is",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","   seriously impressive""",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","A post-apocalyptic world where cosmic horrors crave humanity but meet punks with shotguns. Influenced by cyberpunk, science fiction, horror, the grotesque and black humor.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","An action role-playing game with combat, stealth, dialogue, inventory, attributes, skills, item crafting and psi powers where you fight against machines and larger-than-life beings or become their friend.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Customize your own character through stats and making choices and take a journey through a story-based campaign with lots of freedom and side missions.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Humankind traveled to the stars and settled on the planet Nexus with its ancient secrets of stone and flesh. The machines were installed as protectors, but they were corrupted and brought terror.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","You are a raider among the ruins of the past.But fate might lead you to the Bleeding Head Oracle, the Evergrowing Heart and towards a war with the machines, giving you the power to mend or destroy.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Subscribe to our mailing list",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Get important updates about the game:",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",Newsletter,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Windows, Mac OS X, Linux",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","(Steam, itch.io, etc.)",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","(more platforms in planning)",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Release Date",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","When it's done.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Stephan Hövelbrinks",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Design, Art, Code",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",@talecrafter,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","James Dean",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",www.whatisvalis.com,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",talecrafter@deathtrash.com,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Press Infos",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Here is the Press kit.",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","Legal Notice / Impressum",,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found",Datenschutz,,
,Headline,Enabled,All,http://deathtrash.com/,"No H1 Tags Found","No H2 Tags Found","A post-apocalyptic world where cosmic horrors crave humanity but meet punks with shotguns. Influenced by cyberpunk, science fiction, horror, the grotesque and black humor.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",Newsletter,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","""Gross, but you won't",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","         be able to look away""",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",Killscreen,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","              ""A grimier, scarier,",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","      nastier Fallout""",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Rock Paper Shotgun",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","                  ""The pixel art is",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","   seriously impressive""",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","A post-apocalyptic world where cosmic horrors crave humanity but meet punks with shotguns. Influenced by cyberpunk, science fiction, horror, the grotesque and black humor.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","An action role-playing game with combat, stealth, dialogue, inventory, attributes, skills, item crafting and psi powers where you fight against machines and larger-than-life beings or become their friend.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Customize your own character through stats and making choices and take a journey through a story-based campaign with lots of freedom and side missions.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Humankind traveled to the stars and settled on the planet Nexus with its ancient secrets of stone and flesh. The machines were installed as protectors, but they were corrupted and brought terror.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","You are a raider among the ruins of the past.But fate might lead you to the Bleeding Head Oracle, the Evergrowing Heart and towards a war with the machines, giving you the power to mend or destroy.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Subscribe to our mailing list",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Get important updates about the game:",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",Newsletter,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Windows, Mac OS X, Linux",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","(Steam, itch.io, etc.)",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","(more platforms in planning)",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Release Date",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","When it's done.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Stephan Hövelbrinks",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Design, Art, Code",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",@talecrafter,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","James Dean",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",www.whatisvalis.com,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",talecrafter@deathtrash.com,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Press Infos",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Here is the Press kit.",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","Legal Notice / Impressum",,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found",Datenschutz,,
,Headline,Enabled,All,http://deathtrash.com/,"Death Trash","No H2 Tags Found","A post-apocalyptic world where cosmic horrors crave humanity but meet punks with shotguns. Influenced by cyberpunk, science fiction, horror, the grotesque and black humor.",,
