"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","  expand  Menu  ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," 1 Room: 1 Adult, /Room 0 Children/Room ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","(Age-based rates may be available)",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enter Code",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Hotels For… ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Deals & Packages ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Member Rates® Marriott Rewards ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Our lowest rates when you book direct. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","   See details  ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","                        		            	        		
                        		            	        			CLOSE
                        		            	        		
                        		            	        	",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","View and Manage Reservations",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Find specific reservations, including those made by phone or when not signed in.",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Sign in to My Account",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Sign In to view your current reservations.",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","                        		            	        		
                        		            	        			CLOSE
                        		            	        		
                        		            	        	",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Sign in to Rewards",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," With intriguing destinations, endless temptations and once-in-a-lifetime experiences, see just how far your points can take you. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","                        		                    		
                        		                    			CLOSE
                        		                    		
                        		                    	",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," 1 Room: 1 Adult, /Room 0 Children/Room ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","(Age-based rates may be available)",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enter Code",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enter Code",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Twelve Midtown is the premier all-suite boutique hotel in the heart of Atlantic Station, where you will find fantastic shopping, legendary dining and great entertainment options right outside the door. Its chic, contemporary décor, midtown Atlanta setting and unsurpassed amenities give guests a sophisticated urban experience.Twelve Hotel & Residences Atlantic Station's new guest service concept will make you rethink your notion of a hotel. Whether you are visiting Atlanta for business, pleasure or require a distinctive destination for clients or associates, any of our 101 large one and two-bedroom suites at Twelve Midtown will exceed your expectations. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Complimentary Wi-Fi in guestrooms, meeting space and public area. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Complimentary business center and fitness center open 24 hours with your room key. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Dining, shopping and entertainment abound in Midtown's hottest area. ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," Get rewarded for planning ahead! Enjoy up to 15% off your summer vacation in Atlanta when you book 7 days in advance. Experience distinct neighborhoods, sporting events, breweries, shopping and more during your stay. There’s something for everyone! ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","101 Spacious one or two-bedroom suites",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Check in from anywhere. Know when your room is ready.",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enjoy instant benefits like our Best Rate Guarantee, Mobile Check-In, Free Wi-Fi and earn free nights only when you book directly on Marriott.com.",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","If you’re 62 years or older, you can save at least 15% on your room rate at over 2,000 Marriott hotels.",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?"," 1 Room: 1 Adult, /Room 0 Children/Room ",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","(Age-based rates may be available)",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enter Code",,
,Headline,Enabled,All,https://www.marriott.com/hotels/travel/atlas-twelve-midtown-autograph-collection/,"Twelve Midtown, Autograph Collection","Where do you want to go?","Enter Code",,
