"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","SHEQ Compliance MADE EASY",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Award winning online contractor management system. Manage the entire lifecycle of contractor compliance from pre-qualification to insurance documentation, induction and on site performance. The only solution your business needs for end to end contractor compliance management.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","What if your staff and contractors could report an incident as soon as it occurs from any computer with internet access? What if that incident could be managed thoroughly?",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Audit management made easy! A tool to create and schedule workplace audits or inspections, Rapid Auditor is your simple and fast interface for managing the entire audit life cycle.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Rapid Access Systems is an onsite sign in system to provide secure site control through an ID swipe card or touchscreen sign in solution. Perfect for companies wishing to monitor site entry to ensure only compliant and inducted contractors are able to start work onsite.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Rapid Service Alert is a fully hosted online software system that enables your team to schedule regular reminders for repetitive tasks such as equipment maintenance, fire inspections and audits or any other regularly performed task. Any regular planned maintenance or task can be scheduled and tracked in Rapid Service Alert with notifications and alerts delivered to the…",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Rapid Induct is an award winning online induction software system for the creation and delivery of online induction and training courses for employees and contractors.
Rapid Induct goes beyond most e-learning software and online induction software. With its capability to assist business owners across all aspects of their workplace training.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Rapid Permit to Work is simply the most e client way of issuing permits to get the right people on the job faster. This permit to work software system allows for the request, creation and issue of online work permits, such as confined space entry, hot work and working at heights, to name a few.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","You have 30 seconds to impress your visitors when they walk
in the door! Rapid Visitor Access can help make that first impression count! When being seen as cutting edge, modern and forward thinking is important to your business nothing projects the right image more than an electronic sign in system.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Rapid Hazard Management is an online, fully hosted system
for the management of workplace hazards that is designed to integrate with incident reporting software. Providing a reporting mechanism for all hazard types, the system allows anyone from within the business to report a hazard. From investigation, to control measures, to ongoing assessment and reporting",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Contact Details",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Social Media",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Send us a message",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Terms & Conditions",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Privacy Policy",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions"," 2016 Brew by Coffee Creative Studio",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","E-Learning and Inductions","Hundreds of users trust Rapid Global to accomplish more. Rapid Global software provides workforce management software to many of the world's most respected",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","SHEQ Compliance MADE EASY",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Award winning online contractor management system. Manage the entire lifecycle of contractor compliance from pre-qualification to insurance documentation, induction and on site performance. The only solution your business needs for end to end contractor compliance management.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","What if your staff and contractors could report an incident as soon as it occurs from any computer with internet access? What if that incident could be managed thoroughly?",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Audit management made easy! A tool to create and schedule workplace audits or inspections, Rapid Auditor is your simple and fast interface for managing the entire audit life cycle.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Rapid Access Systems is an onsite sign in system to provide secure site control through an ID swipe card or touchscreen sign in solution. Perfect for companies wishing to monitor site entry to ensure only compliant and inducted contractors are able to start work onsite.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Rapid Service Alert is a fully hosted online software system that enables your team to schedule regular reminders for repetitive tasks such as equipment maintenance, fire inspections and audits or any other regularly performed task. Any regular planned maintenance or task can be scheduled and tracked in Rapid Service Alert with notifications and alerts delivered to the…",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Rapid Induct is an award winning online induction software system for the creation and delivery of online induction and training courses for employees and contractors.
Rapid Induct goes beyond most e-learning software and online induction software. With its capability to assist business owners across all aspects of their workplace training.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Rapid Permit to Work is simply the most e client way of issuing permits to get the right people on the job faster. This permit to work software system allows for the request, creation and issue of online work permits, such as confined space entry, hot work and working at heights, to name a few.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","You have 30 seconds to impress your visitors when they walk
in the door! Rapid Visitor Access can help make that first impression count! When being seen as cutting edge, modern and forward thinking is important to your business nothing projects the right image more than an electronic sign in system.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Rapid Hazard Management is an online, fully hosted system
for the management of workplace hazards that is designed to integrate with incident reporting software. Providing a reporting mechanism for all hazard types, the system allows anyone from within the business to report a hazard. From investigation, to control measures, to ongoing assessment and reporting",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Contact Details",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Social Media",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Send us a message",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Terms & Conditions",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Privacy Policy",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System"," 2016 Brew by Coffee Creative Studio",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Work Permit System","Hundreds of users trust Rapid Global to accomplish more. Rapid Global software provides workforce management software to many of the world's most respected",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","SHEQ Compliance MADE EASY",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Award winning online contractor management system. Manage the entire lifecycle of contractor compliance from pre-qualification to insurance documentation, induction and on site performance. The only solution your business needs for end to end contractor compliance management.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","What if your staff and contractors could report an incident as soon as it occurs from any computer with internet access? What if that incident could be managed thoroughly?",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Audit management made easy! A tool to create and schedule workplace audits or inspections, Rapid Auditor is your simple and fast interface for managing the entire audit life cycle.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Rapid Access Systems is an onsite sign in system to provide secure site control through an ID swipe card or touchscreen sign in solution. Perfect for companies wishing to monitor site entry to ensure only compliant and inducted contractors are able to start work onsite.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Rapid Service Alert is a fully hosted online software system that enables your team to schedule regular reminders for repetitive tasks such as equipment maintenance, fire inspections and audits or any other regularly performed task. Any regular planned maintenance or task can be scheduled and tracked in Rapid Service Alert with notifications and alerts delivered to the…",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Rapid Induct is an award winning online induction software system for the creation and delivery of online induction and training courses for employees and contractors.
Rapid Induct goes beyond most e-learning software and online induction software. With its capability to assist business owners across all aspects of their workplace training.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Rapid Permit to Work is simply the most e client way of issuing permits to get the right people on the job faster. This permit to work software system allows for the request, creation and issue of online work permits, such as confined space entry, hot work and working at heights, to name a few.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","You have 30 seconds to impress your visitors when they walk
in the door! Rapid Visitor Access can help make that first impression count! When being seen as cutting edge, modern and forward thinking is important to your business nothing projects the right image more than an electronic sign in system.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Rapid Hazard Management is an online, fully hosted system
for the management of workplace hazards that is designed to integrate with incident reporting software. Providing a reporting mechanism for all hazard types, the system allows anyone from within the business to report a hazard. From investigation, to control measures, to ongoing assessment and reporting",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Contact Details",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Social Media",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Send us a message",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Terms & Conditions",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Privacy Policy",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions"," 2016 Brew by Coffee Creative Studio",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Site Access Solutions","Hundreds of users trust Rapid Global to accomplish more. Rapid Global software provides workforce management software to many of the world's most respected",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","SHEQ Compliance MADE EASY",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Award winning online contractor management system. Manage the entire lifecycle of contractor compliance from pre-qualification to insurance documentation, induction and on site performance. The only solution your business needs for end to end contractor compliance management.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","What if your staff and contractors could report an incident as soon as it occurs from any computer with internet access? What if that incident could be managed thoroughly?",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Audit management made easy! A tool to create and schedule workplace audits or inspections, Rapid Auditor is your simple and fast interface for managing the entire audit life cycle.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Rapid Access Systems is an onsite sign in system to provide secure site control through an ID swipe card or touchscreen sign in solution. Perfect for companies wishing to monitor site entry to ensure only compliant and inducted contractors are able to start work onsite.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Rapid Service Alert is a fully hosted online software system that enables your team to schedule regular reminders for repetitive tasks such as equipment maintenance, fire inspections and audits or any other regularly performed task. Any regular planned maintenance or task can be scheduled and tracked in Rapid Service Alert with notifications and alerts delivered to the…",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Rapid Induct is an award winning online induction software system for the creation and delivery of online induction and training courses for employees and contractors.
Rapid Induct goes beyond most e-learning software and online induction software. With its capability to assist business owners across all aspects of their workplace training.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Rapid Permit to Work is simply the most e client way of issuing permits to get the right people on the job faster. This permit to work software system allows for the request, creation and issue of online work permits, such as confined space entry, hot work and working at heights, to name a few.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","You have 30 seconds to impress your visitors when they walk
in the door! Rapid Visitor Access can help make that first impression count! When being seen as cutting edge, modern and forward thinking is important to your business nothing projects the right image more than an electronic sign in system.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Rapid Hazard Management is an online, fully hosted system
for the management of workplace hazards that is designed to integrate with incident reporting software. Providing a reporting mechanism for all hazard types, the system allows anyone from within the business to report a hazard. From investigation, to control measures, to ongoing assessment and reporting",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Contact Details",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Social Media",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Send us a message",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Terms & Conditions",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Privacy Policy",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling"," 2016 Brew by Coffee Creative Studio",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Asset Management and Task Scheduling","Hundreds of users trust Rapid Global to accomplish more. Rapid Global software provides workforce management software to many of the world's most respected",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Contractor Management","SHEQ Compliance MADE EASY",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Contractor Management","Award winning online contractor management system. Manage the entire lifecycle of contractor compliance from pre-qualification to insurance documentation, induction and on site performance. The only solution your business needs for end to end contractor compliance management.",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Contractor Management","What if your staff and contractors could report an incident as soon as it occurs from any computer with internet access? What if that incident could be managed thoroughly?",,
,Headline,Enabled,All,http://rapidglobal.co.za/,"Workforce Management Software","Online Contractor Management","Audit management made easy! A tool to create and schedule workplace audits or inspections, Rapid Auditor is your simple and fast interface for managing the entire audit life cycle.",,
