"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","100% Satisfaction Guaranteed","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","100% Satisfaction Guaranteed","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","100% Satisfaction Guaranteed","Find out how much you can save. Get a Free Estimate from Holliday Heating & Air ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","24 Hour Service Stay Cool Now","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","24 Hour Service Stay Cool Now","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","24 Hour Service Stay Cool Now","Find out how much you can save. Get a Free Estimate from Holliday Heating & Air ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","Serving Spokane For 30 Years","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","Serving Spokane For 30 Years","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless AC Service & Repair","Serving Spokane For 30 Years","Find out how much you can save. Get a Free Estimate from Holliday Heating & Air ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","100% Satisfaction Guaranteed","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","100% Satisfaction Guaranteed","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","100% Satisfaction Guaranteed","Find out how much you can save. Get a Free Estimate from Holliday Heating & Air ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","24 Hour Service Stay Cool Now","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","24 Hour Service Stay Cool Now","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","24 Hour Service Stay Cool Now","Find out how much you can save. Get a Free Estimate from Holliday Heating & Air ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","Serving Spokane For 30 Years","Ductless heat pump systems can save up to 50% in electric costs annually. ",heat-pumps,ductless
"ductless heat pump",Headline,Enabled,All,http://www.hollidayheating.com/cooling/ductless-heat-pump/,"Ductless Heat Pump Systems","Serving Spokane For 30 Years","To learn more about the benefits of ductless heat pumps, contact us today!",heat-pumps,ductless
