"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","ROZVOZ PO BRATISLAVE ZDARMA ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","ŠIROKÝ VÝBER LIEKOV     ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","      ODBORNÉ PORADENSTVO",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        Biogaia detské probi...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        WALMARK Marťankovia ...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        Serapeptáza 120 000 ...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        Astina SuperMag B6 6...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        Ibalgin Rapidcaps 40...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        NO-SPA 40 mg 24 tab
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        VERAL 1
ermálny gél ...
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","                        HISTAMINUM 15CH
                    ",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","V Lekárni Servus Plus veríme, že každý zákazník je v prvom rade človek, ktorý k nám prichádza s cieľom zlepšiť svoje zdravie. Či už potrebuje pomoc pri riešení zdravotných problémov, alebo sa aktívne zaujíma o možnosti preventívnej starostlivosti o svoje zdravie, my vieme, že každý náš zákazník potrebuje individuálny prístup a odborné poradenstvo skúseného farmaceuta.",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","Našim hlavným cieľom je preto pochopiť potreby zákazníka, pomôcť mu vybrať si správny liek či produkt z doplnkového sortimentu, a poradiť mu ako správne tento tovar užívať tak, aby dosiahol svoj cieľ – zlepšenie zdravia.",,
,Headline,Enabled,All,http://servusplus.sk/,"No H1 Tags Found","ODPORÚČANÉ PRODUKTY","Ústretový a individuálny prístup k zákazníkovi nás viedol k vytvoreniu internetovej Lekárne Servus Plus, prostredníctvom ktorej možeme zákazníkom poskytnúť ďalšie výhody ako je možnosť šetriť čas pri nákupe lekárenského a doplnkového sortimentu a možnosť mať rýchly a jednoduchý prístup k informáciám a odbornému poradenstvu so skúsenými farmaceutmi.",,
