"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","iHop Hunter Valley is a great choice for your Hunter Valley wine tour. Why? Because we live here and we love it. We are proud locals, so we know some of the best spots to share with you so you get the most out of your visit to the Hunter Valley. We will explore the best wineries, restaurants, pubs and other locations so you can taste and experience the best from the world-famous Hunter Valley. ",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","iHop Hunter Valley is Australia’s 1st wine region Hop on, Hop off tour provider. This flexible tour allows travellers the option to hop on and hop off where and when they choose. You can explore over 120 of the Hunter Valley’s best wineries, pubs, breweries, restaurants, cafes and shops as your iHop Hunter Valley guide safely hops you from one location to another. Travel the Hunter Valley your way and create your own Hunter Valley wine tasting adventure with iHop Hunter Valley.",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","We’ve now got two great routes to choose from; the boutique Lovedale and Palmers Lane Hop On, Hop Off Tour and our original Pokolbin Hop On, Hop Off Tour. ",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","Learn more about iHop Hunter Valley’s Hop On, Hop Off Tour",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","You can consider our fully guided Taste ‘n’ Graze the Hunter! tour, where you can Uncover the art of Food and Drink Pairing as you progressively Taste and Dine your way around the scenic Hunter Region, indulging in a selected range of tasting experiences that celebrates beautiful local produce, that have been paired with premium Hunter Valley wines and aged whiskies on a tasting adventure with a difference!",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","Learn more about our Taste ‘n’ Graze the Hunter Tour",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","The iHop Hunter Valley night tour allows you to savour the best of the Hunter Valley after dark. We don’t think the fun should stop when the sun goes down so we offer our unique night tours to allows visitors to the Hunter Valley (and locals!) the option to continue their Hunter Valley wine tour after dark. ",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","You will have the choice of a Wine and Cheese Lovers Progressive Dinner or the Beeries and Foodies Experience. You’ll enjoy a fully guided tour with a delicious meal at one of the Hunter Valley award-winning locations. You will get exclusive after-hours access to some of the Hunter Valley’s favourite venues and be able to see a different side to the Valley. ",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","Both tours run for approximately 3.5 hours and include complimentary pickup and return transfers from your local accommodation.",,
"Hunter Valley Wine",Headline,Enabled,All,https://www.ihophuntervalley.com.au/hunter-valley-wine-tours/,"Hunter Valley Wine Tours with iHop Hunter Valley","Hunter Valley Wine Tours","Learn more about our award-winning Night Tours and Progressive Dinners",,
