"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","Located in Spokane, Washington","Trust our experienced maintenance team to get the job done right the first time",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","Located in Spokane, Washington","Our certified technicians have extensive training in Geo Thermal Technologies.",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","Located in Spokane, Washington","When your geothermal system needs repair contact the experts at Holliday Heating",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","100% Satisfaction Guaranteed","Trust our experienced maintenance team to get the job done right the first time",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","100% Satisfaction Guaranteed","Our certified technicians have extensive training in Geo Thermal Technologies.",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Geo Thermal Repair","100% Satisfaction Guaranteed","When your geothermal system needs repair contact the experts at Holliday Heating",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","Located in Spokane, Washington","Trust our experienced maintenance team to get the job done right the first time",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","Located in Spokane, Washington","Our certified technicians have extensive training in Geo Thermal Technologies.",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","Located in Spokane, Washington","When your geothermal system needs repair contact the experts at Holliday Heating",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","100% Satisfaction Guaranteed","Trust our experienced maintenance team to get the job done right the first time",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","100% Satisfaction Guaranteed","Our certified technicians have extensive training in Geo Thermal Technologies.",geothermal,repair
"geothermal repair",Headline,Enabled,All,http://www.hollidayheating.com/geo-thermal/repair/,"Holliday Heating & Air Conditioning","100% Satisfaction Guaranteed","When your geothermal system needs repair contact the experts at Holliday Heating",geothermal,repair
