"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Furnace Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Club Members Free Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Club Members Free Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","Club Members Free Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire Home Services","$77 Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Furnace Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Club Members Free Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Club Members Free Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","Club Members Free Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Tune-up","WOW! 20 Point Tune-Up. Pacific Aire is the go-to company for Furnace Tune-ups!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Tune-up","It’s easy to protect your home’s heating and air investment – and cost-effective too!",,
,Headline,Enabled,All,https://www.pacaire.com,"Pacific Aire","$77 Tune-up","Family Heating and AC company serving Ventura, Santa Barbara, and Santa Clarita",,
