"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland","Zoek in ons aanbod vakantiehuizen in Nederland:","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland","Populaire regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland","Alle regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland","Top bezienswaardigheden in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland? Vakantie in Nederland","Zoek in ons aanbod vakantiehuizen in Nederland:","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland? Vakantie in Nederland","Populaire regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland? Vakantie in Nederland","Alle regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland? Vakantie in Nederland","Top bezienswaardigheden in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,"Vakantiehuis Nederland? Vakantie in Nederland","Vakantiehuis Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,Belvilla,"Zoek in ons aanbod vakantiehuizen in Nederland:","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,Belvilla,"Populaire regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,Belvilla,"Alle regio's in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,Belvilla,"Top bezienswaardigheden in Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
,Headline,Enabled,All,https://www.belvilla.nl/vakantiehuis-nederland/,Belvilla,"Vakantiehuis Nederland","WARNING: No data posted for P elements, Adulator/view/line 27",,
