"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Located in Spokane, Washington","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Located in Spokane, Washington","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Located in Spokane, Washington","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Get A Free Estimate Today","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Get A Free Estimate Today","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Get A Free Estimate Today","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Save $400 On A New HVAC","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Save $400 On A New HVAC","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"$400 Off A New System","Save $400 On A New HVAC","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Located in Spokane, Washington","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Located in Spokane, Washington","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Located in Spokane, Washington","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Get A Free Estimate Today","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Get A Free Estimate Today","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Save $400 On A New HVAC","Get A Free Estimate Today","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Located in Spokane, Washington","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Located in Spokane, Washington","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Located in Spokane, Washington","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Get A Free Estimate Today","We will only do what is in the client’s best interest.",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Get A Free Estimate Today","Holliday technicians, installers and staff proudly wear the Seal of Safety. ",hvac,save400
"$400 off promo",Headline,Enabled,All,http://www.hollidayheating.com/400-off-purchase-of-new-system/,"Holliday Heating","Get A Free Estimate Today","Holliday Heating & Air  has been serving the  Spokane area for over 20 years.",hvac,save400
