"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    Item specifics
    
        

                        Item Type:
                        Body Jewelry
                    
                                            ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    Item specifics
    
        

                        Brand Name:
                        HENGSHENG
                    
                                              ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    
    

    Item specifics
    
        
                                                
                        Item Type:
                        Bracelets
       ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    Item specifics
    
        

                        Item Type: Bracelets
                    
                                                                
      ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    Item specifics
    
        
                                                
                        Item Type:
                        Jewelry Sets
                  ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    Item specifics
    
        

                        Item Type:
                        Bracelets
                    
                                               ..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    
    

    Item specifics
    
        
                                                
                        Earring Type:
                        Stud Earrings
..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","    
    

    Item specifics
    
        
                                                
                        Earring Type:
                        Stud Earrings
..",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","A Shopping Story at AntNiMore.com ...",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","Website survey...",Gift,Necklace
"Special deal",Headline,Enabled,All,https://antnimore.com/special,"Special Offers","Gold Owls Blue Piercings Bird Navel Belly Rings Sexy Bikini Body Jewelry Women Girls Belly Button Rings Summer Holiday Bijoux","TOP 10 Wearing Fashion Jewelry Tips ...",Gift,Necklace
