"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Commercial Vehicles","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Material-handling Equipment","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Goldbell Care","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL",Resources,"The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"About GBL","Our Products & Services","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Material-handling Equipment","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Goldbell Care","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles",Resources,"The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","About GBL","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Commercial Vehicles","Our Products & Services","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Commercial Vehicles","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Material-handling Equipment","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Goldbell Care","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)",Resources,"The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","With the largest combined fleet size, we bring you endless possibilities from a comprehensive range of pickups, vans, trucks, buses, trailers, and material-handling equipment for you to choose from.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","© 2018 Goldbell Leasing Pte Ltd. All rights reserved.",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","About GBL","The Market leader in Commercial vehicle & Equipment specialist. Fulfilling all your leasing & rental needs with ease.

",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Passenger Vehicles, Goods Vans, Trucks, Pickups, Buses",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Counterbalanced Forklifts, Reach Trucks, Order Pickers, Tow Tractors, Pallet Trucks, VNAs, Specialised Vehicles (Explosion-proof, Ultra-deep Freezer)",,
General/Branding/Primary,Headline,Enabled,All,http://www.gbl.com.sg,"Material-handling Equipment (MHE)","Our Products & Services","Over the years, we’ve been delivering smiles across to many individuals and businesses – it’s just one of the lengths we go to for your peace of mind.",,
